x,y,z
-0.0874851,-0.0835994,0.124663
-0.0858885,-0.0821775,0.127798
-0.0897181,-0.0865665,0.136833
-0.0879041,-0.0849093,0.140061
-0.0860388,-0.083185,0.143223
-0.0938413,-0.0919211,0.158797
-0.135525,-0.137533,0.221715
-0.11318,-0.113631,0.199584
-0.13762,-0.140747,0.245138
-0.129221,-0.132002,0.242898
-0.121469,-0.12391,0.240916
-0.117778,-0.120251,0.245387
-0.121936,-0.125263,0.264604
-0.113821,-0.116663,0.261108
-0.106327,-0.108698,0.257964
-0.0986725,-0.100502,0.253571
-0.0948378,-0.0965384,0.257182
-0.0875412,-0.0886493,0.25207
-0.0870259,-0.08837,0.263965
-0.0771657,-0.0774949,0.250346
-0.0705178,-0.0702012,0.244179
-0.0669367,-0.0663585,0.246709
-0.0557371,-0.0537691,0.222494
-0.0501198,-0.0475077,0.215177
-0.0470991,-0.0441965,0.216918
-0.0461837,-0.0432969,0.227999
-0.0410059,-0.0374478,0.220044
-0.0397277,-0.0360971,0.231043
-0.0364807,-0.0324389,0.232373
-0.0317701,-0.0270425,0.223829
-0.0286747,-0.0235081,0.224846
-0.0310451,-0.0263932,0.274004
-0.0316621,-0.0272234,0.322459
-0.0291773,-0.0243784,0.35223
-0.0421676,-0.0875948,0.0457697
-0.0420016,-0.0876009,0.0483082
-0.0418112,-0.0875451,0.0508441
-0.0415968,-0.0874271,0.0533757
-0.0413586,-0.087247,0.0559011
-0.0410971,-0.0870049,0.0584188
-0.0408127,-0.0867009,0.0609269
-0.0405056,-0.0863351,0.0634238
-0.0401765,-0.0859077,0.0659076
-0.0398256,-0.0854189,0.0683769
-0.0394533,-0.084869,0.0708297
-0.0390603,-0.0842583,0.0732645
-0.0386469,-0.0835871,0.0756796
-0.0382136,-0.082856,0.0780734
-0.0377609,-0.0820652,0.0804441
-0.0372893,-0.0812154,0.0827902
-0.0367993,-0.0803069,0.08511
-0.0390841,-0.0869138,0.0913826
-0.0415583,-0.0941023,0.0985113
-0.0409095,-0.0928081,0.10118
-0.0402413,-0.0914468,0.10381
-0.0395544,-0.0900194,0.106399
-0.0388494,-0.0885267,0.108946
-0.0408782,-0.0946589,0.11722
-0.0424936,-0.0996918,0.125274
-0.0416144,-0.0977322,0.128078
-0.0407176,-0.0957014,0.130824
-0.0422909,-0.100696,0.140105
-0.04371,-0.1053,0.149714
-0.0426245,-0.102731,0.152657
-0.0415227,-0.100087,0.155527
-0.0404055,-0.0973703,0.15832
-0.0414046,-0.100821,0.168554
-0.0440932,-0.109282,0.185967
-0.0447003,-0.111671,0.196851
-0.044952,-0.113028,0.207154
-0.0470662,-0.11997,0.226611
-0.0460781,-0.119621,0.273094
-0.0411389,-0.105108,0.258667
-0.0392314,-0.0998035,0.261543
-0.0386012,-0.0984087,0.273352
-0.0217082,-0.0472727,0.210673
-0.0196084,-0.0408046,0.203305
-0.0183094,-0.0368502,0.204423
-0.0182479,-0.0368731,0.223963
-0.0196062,-0.0415383,0.273023
0.559462,2.68174,0.974421
0.554254,2.67844,0.893791
0.550348,2.68133,0.816473
0.547955,2.6916,0.742094
0.541416,2.68174,0.663552
0.538368,2.68892,0.589968
0.534715,2.6932,0.516303
0.528924,2.68681,0.441539
0.52257,2.67745,0.36737
0.51778,2.67589,0.294934
0.514535,2.68224,0.223503
0.509215,2.67792,0.151595
0.505244,2.68057,0.0802021
-0.00308762,-0.135108,0.0467088
-0.00287261,-0.135009,0.0502415
-0.00266062,-0.134817,0.0537702
-0.00245211,-0.134532,0.0572926
-0.00224752,-0.134155,0.0608062
-0.00204727,-0.133686,0.0643086
-0.0015004,-0.142969,0.0695232
-0.00129609,-0.142268,0.0732533
-0.00109783,-0.141469,0.0769638
-0.000906076,-0.140573,0.0806519
-0.000721267,-0.139581,0.0843154
-0.000543839,-0.138493,0.0879515
5.46742e-05,-0.146759,0.0948032
0.000227158,-0.145393,0.0986237
0.000390403,-0.143928,0.102407
0.000543978,-0.142364,0.106151
0.000687462,-0.140702,0.109853
0.000820447,-0.138945,0.113509
0.0014285,-0.145913,0.121804
0.00105333,-0.135145,0.120678
0.0021014,-0.149376,0.133954
0.00219911,-0.146984,0.13783
-0.0040641,-0.0230218,0.177624
-0.00312952,-0.0305021,0.304783
-0.53474,2.62411,0.943804
-0.539668,2.62668,0.867525
-0.544369,2.62808,0.79195
-0.565697,2.71007,0.737961
-0.592844,2.81869,0.686351
-0.760905,3.5978,0.763467
-0.766463,3.59542,0.663801
-0.77125,3.58943,0.564552
-0.775669,3.58181,0.466097
-0.52379,2.3897,0.261218
-0.675176,3.06546,0.239915
-0.683131,3.07807,0.15804
-0.680072,3.04074,0.0750834
0.0544879,-0.145225,0.0475432
0.0546699,-0.145015,0.0515988
0.0548095,-0.144707,0.0556496
